job_title;company;location;salary_preview;date_posted_relative;url;short_description
Vollzeit;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/vollzeit/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworktypes%3b80001;
;Dedalus HealthCare GmbH;bundesweit, Home-Office;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/dedalus-healthcare-gmbh-258128/jobs;
;Fr. Jacob Söhne GmbH & Co. KG;Porta Westfalica;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/fr-jacob-s%c3%b6hne-gmbh-%26-co-kg-113615/jobs;
;Colt Technology Services;Frankfurt am Main;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/colt-technology-services-101964/jobs;
;Brunel GmbH;Düsseldorf;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/brunel-gmbh-141712/jobs;
;Shelly DACH GmbH;München;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/shelly-dach-gmbh-367338/jobs;
;Toyota Kreditbank GmbH;Köln;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/toyota-kreditbank-gmbh-79682/jobs;
;Octapharma Produktionsgesellschaft Deutschland mbH;Springe;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/octapharma-produktionsgesellschaft-deutschland-mbh-166011/jobs;
;Ratbacher GmbH;Berlin, München, Bielefeld, Nürnberg, Karlsruhe, Leipzig;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ratbacher-gmbh-46710/jobs;
;KRIKO Engineering GmbH;Freiburg im Breisgau;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/kriko-engineering-gmbh-156956/jobs;
;BBS Automation GmbH;Sonthofen;;vor 3 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/bbs-automation-gmbh-180947/jobs;
;AVAT Automation GmbH;Tübingen;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/avat-automation-gmbh-7797/jobs;
;Beckhoff Automation GmbH & Co. KG;Verl;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/beckhoff-automation-gmbh-%26-co-kg-30835/jobs;
;Beckhoff Automation GmbH & Co. KG;Verl;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/beckhoff-automation-gmbh-%26-co-kg-30835/jobs;
;Apleona GmbH;Stuttgart;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/apleona-gmbh-192321/jobs;
;Sysmex Europe SE;Hamburg;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/sysmex-europe-se-137810/jobs;
;STEINEL GmbH;Herzebrock-Clarholz bei Bielefeld;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/steinel-gmbh-2911/jobs;
;Bucher Automation AG;Marbach am Neckar;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/bucher-automation-ag-23017/jobs;
;Beckhoff Automation GmbH & Co. KG;Verl;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/beckhoff-automation-gmbh-%26-co-kg-30835/jobs;
;IONOS SE;Berlin;;vor 15 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ionos-se-397359/jobs;
;Drees & Sommer SE;Berlin;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/drees-%26-sommer-se-3440/jobs;
